Title,Worldwide_gross($),Budget(in$),IMDB,DURATION-Minutes,Year,Rotten_Tomatoes(%),Rating(Stars),CRBCR3ting,Popularity(in%),Picture Colour,HIT/FLOP
A Sound of Thunder,"1,17,00,000","8,00,00,000",4.2,110,2005,49,2,2,60,2,F
Speed Racer,"9,39,00,000","12,00,00,000",6,135,2008,49,3,2,79,2,F
Sphere,"5,01,00,000","7,30,00,000",6,135,1998,52,3,2,79,2,F
Stealth,"7,69,00,000","13,50,00,000",5,121,2005,46,2.5,3,76,2,F
Supernova,"1,48,00,000","9,00,00,000",4.8,91,2000,42,2.5,1,68,2,F
Teenage Mutant Ninja Turtles: Out of the Shadows,"24,56,00,000","13,50,00,000",5.9,112,2016,46,3,2,73,2,F
Titan A.E.,"3,68,00,000","7,50,00,000",6.6,94,2000,76,3.5,1,83,2,H
Tomorrowland,"20,92,00,000","18,00,00,000",6.5,130,2015,67,3.5,3,80,2,H
Town & Country,"1,04,00,000","9,00,00,000",4.4,104,2001,76,2.5,1,75,2,F
Treasure Planet,"10,96,00,000","14,00,00,000",7.1,95,2002,61,3.5,3,71,2,H
Windtalkers,"7,76,00,000","11,50,00,000",6,135,2002,61,3,3,78,2,F
The Wolfman,"13,98,00,000","15,00,00,000",5.8,119,2010,49,3,3,73,2,F
xXx: State of the Union,"7,10,00,000","11,31,00,000",4.3,101,2005,49,2.5,2,76,2,F
Zoom,"1,25,00,000","7,56,00,000",6.2,93,2006,49,3,2,67,2,F
